"","PERSONID","VARSTRAT","GCDWORK","WKFTPT","HH_RACE","WKFTPT.1","WKRMHM","DRIVER","DTCOST","DTCONJ","R_SEX","R_AGE","HBHUR","WRKCOUNT","HHFAMINC"
"23","20004480-1",89,0.496360852,2,1,2,2,1,3,-1,2,55,"C",2,17
"30","20005320-2",19,4.734441699,2,1,2,2,1,-1,3,1,70,"S",1,12
"34","20005807-1",87,36.556894609,2,1,2,2,1,2,-1,2,54,"S",1,18
"47","20008264-1",46,4.0440121527,2,1,2,2,1,3,-1,2,45,"TC",2,14
"69","20010735-5",70,31.554170914,2,1,2,1,1,-1,-1,2,42,"TC",2,18
"82","20012364-1",31,1.6746597961,2,1,2,2,1,-1,-1,2,46,"S",3,18
"84","20012364-3",31,1.6605134645,2,1,2,2,1,2,-1,1,20,"S",3,18
"91","20012757-3",66,13.229754316,2,1,2,2,1,2,-1,1,17,"TC",3,10
"126","20019121-1",53,12.541634614,2,1,2,2,1,-1,-1,2,57,"TC",1,2
"130","20019215-3",39,5.5465170007,2,1,2,2,1,-1,-1,1,19,"C",4,18
"132","20019215-5",39,3.869039963,2,1,2,2,1,-1,-1,1,19,"C",4,18
"151","20021227-1",34,2.5872845431,2,7,2,2,1,2,-1,1,54,"TC",2,3
"152","20021227-2",34,2.283416342,2,7,2,2,1,-1,3,2,52,"TC",2,3
"227","20031440-3",96,1.3062536594,2,1,2,2,1,2,-1,2,22,"TC",3,6
"239","20032317-2",62,4.8248018221,2,1,2,2,1,-1,-1,2,35,"TC",2,17
"255","20034955-1",14,0.5170268005,2,1,2,2,1,-1,-1,2,53,"S",2,17
"260","20035569-2",59,4.5992839209,2,1,2,2,1,-1,-1,1,70,"TC",1,7
"266","20037385-2",50,13.397350306,2,1,2,1,1,1,-1,1,22,"U",3,10
"267","20037385-3",50,1.0555587179,2,1,2,2,1,-1,-1,1,22,"U",3,10
"280","20038841-2",13,1.2146088992,2,1,2,2,1,3,-1,1,81,"TC",1,5
"288","20042174-2",72,6.7386518684,2,1,2,1,1,-1,-1,1,66,"TC",1,18
"291","20042231-1",53,5.9327643294,2,1,2,2,1,-1,1,1,71,"TC",2,8
"292","20042231-2",53,5.9327643294,2,1,2,2,1,-1,-1,2,65,"TC",2,8
"295","20042521-3",70,1.7542355048,2,1,2,2,1,1,-1,1,18,"S",3,17
"333","20048402-1",77,0.5462901315,2,1,2,2,1,2,-1,2,69,"TC",1,-7
"335","20048475-1",23,0.8771850435,2,1,2,1,1,-1,3,1,42,"C",2,18
"340","20048617-2",91,2.6659846924,2,1,2,1,1,-1,1,2,61,"C",2,18
"363","20052294-1",2,0.9802380178,2,1,2,2,1,2,-1,2,46,"C",2,16
"378","20055389-1",7,8.6150179735,2,1,2,2,1,-1,3,2,58,"TC",1,12
"387","20055866-3",87,10.3328642,2,97,2,2,1,-1,-1,2,20,"TC",3,12
"416","20060105-1",33,19.608029873,2,2,2,2,1,2,-1,2,74,"TC",1,3
"443","20065119-1",77,5.193656822,2,1,2,1,2,-1,-1,2,53,"S",2,14
"481","20069975-4",61,1.1181336256,2,1,2,2,1,2,-1,2,20,"TC",2,17
"482","20070216-1",15,8.3309401794,2,1,2,2,1,-1,3,2,58,"TC",1,12
"500","20071437-2",91,4.0795355744,2,1,2,2,1,-1,2,2,52,"S",2,12
"520","20074782-2",92,25.103554445,2,1,2,2,1,-1,-1,2,16,"TC",2,3
"547","20078810-1",40,4.2883178948,2,-7,2,2,1,-1,3,2,65,"S",1,10
"557","20080345-1",79,4.3354955681,2,1,2,2,1,3,-1,2,50,"TC",1,-7
"606","20086888-2",47,7.9344897922,2,1,2,2,1,-1,3,2,72,"U",2,14
"627","20090102-2",50,3.1095347824,2,1,2,2,1,-1,-1,2,37,"TC",2,18
"653","20093738-3",5,8.9851713086,2,1,2,2,1,1,-1,2,23,"TC",2,12
"698","20099196-1",91,2.5627613567,2,1,2,2,1,-1,-1,2,66,"S",1,18
"731","20105417-4",64,2.4949179752,2,1,2,2,1,-1,-1,1,18,"TC",2,6
"766","20110448-1",65,51.658320548,2,2,2,2,1,2,-1,2,25,"TC",1,4
"791","20113850-2",22,11.889407698,2,1,2,2,1,-1,-1,2,40,"TC",1,12
"866","20131443-1",41,3.2248204164,2,1,2,2,1,2,-1,1,20,"TC",3,18
"875","20132150-2",41,2.6654239076,2,1,2,1,1,-1,-1,2,47,"C",2,17
"888","20135469-1",21,3.9564082242,2,1,2,1,1,-1,3,2,66,"TC",1,3
"896","20136952-3",60,1.4461189948,2,7,2,2,1,-1,-1,1,23,"C",1,7
"914","20138835-2",39,9.1789740553,2,1,2,2,1,-1,-1,1,20,"TC",4,9
"917","20138835-5",39,0.6668970592,2,1,2,2,1,-1,-1,2,17,"TC",4,9
"923","20140182-1",13,0.9080315118,2,-7,2,2,1,2,-1,2,56,"TC",2,12
"927","20141161-1",69,11.537689817,2,-7,2,2,1,-1,-1,1,47,"TC",1,-7
"976","20148526-1",97,6.4278944003,2,1,2,2,1,-1,-1,2,59,"S",2,17
"979","20148544-2",78,5.1065485043,2,4,2,2,1,-1,-1,1,62,"TC",1,7
"994","20149813-2",51,2.1170241024,2,1,2,2,1,3,-1,2,60,"TC",1,4
"997","20151722-1",47,3.3911496713,2,6,2,1,1,-1,-1,2,45,"C",1,5
"1000","20151919-1",70,8.1195848125,2,1,2,2,1,3,-1,2,38,"S",2,13
"1017","20153481-2",97,11.516616617,2,1,2,2,1,-1,-1,2,51,"TC",2,14
"1018","20154189-1",40,0.7190925372,2,1,2,2,1,3,-1,2,47,"S",2,18
"1023","20155140-1",41,5.2961895788,2,1,2,2,1,-1,2,2,47,"TC",2,8
"1038","20159885-1",51,49.203452575,2,1,2,2,1,3,-1,1,70,"TC",1,18
"1056","20161927-3",41,1.7885070478,2,1,2,2,1,-1,1,2,20,"C",3,13
"1065","20162232-4",16,10.563678426,2,4,2,2,1,-1,-1,2,28,"TC",4,18
"1086","20164786-1",4,2.5731367218,2,1,2,1,1,-1,3,2,79,"S",1,9
"1099","20168917-3",4,2.8035262906,2,1,2,2,2,-1,-1,1,16,"TC",3,-8
"1124","20170693-2",32,0.2520080719,2,1,2,2,1,-1,-1,1,62,"TC",2,18
"1141","20173582-1",17,12.725475437,2,1,2,2,1,3,-1,1,50,"S",1,18
"1148","20174963-1",30,3.5313936504,2,1,2,2,1,2,-1,2,76,"TC",1,3
"1176","20178345-1",30,1.07082405,2,1,2,2,1,-1,-1,2,68,"C",1,17
"1223","20184980-1",15,5.4148549691,2,1,2,1,1,-1,-1,1,62,"S",2,-7
"1228","20185307-2",98,4.0602147959,2,1,2,2,1,-1,-1,2,47,"C",2,17
"1231","20185633-1",67,3.0044487668,2,1,2,2,1,-1,-1,2,72,"C",1,4
"1250","20186984-2",84,5.0094934064,2,1,2,2,1,-1,-1,2,29,"TC",2,-7
